Spectrum Version: 5.31,Number of new HIV infections,Total Region; Male+Female,,,,,,,,,,,,,,,,
year,Cambodia,Cameroon,DRC,Haiti,Malawi,Morocco,Myanmar,Nigeria,Pakistan,South Africa,South Sudan,Thailand,Uganda,Vietnam,Zambia,Zimbabwe,Kenya,Mozambique
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,1755,0,256,0,0,3312,0,0,0,0,0,0,149,0,308,0
1972,0,0,2657,0,313,0,0,5258,0,0,0,0,0.42981,0,298,0,420,0
1973,0,0,3879,0,457,0,0,5324,0,0,0,0,3,0,641,0,865,0
1974,0,0,4254,0,568,0,0,5193,6,0,0,0,13,0,1453,0,954,0
1975,0,462,5674,0,918,0,0,5654,7,0,0,0,59,0,2764,45,1215,295
1976,0,351,7581,0,1313,0,0,7110,7,0,0,0,427,0,5121,54,1704.09068,219
1977,0,602,9797,0,1909,0.68244,0,9030,7,0,0,0,1177,0,8810,112,2387,298
1978,0,1003,12514,64,2801,0.70288,0,11542,11,0,0,0,3290,0,14167,234,3382,464
1979,0,1616,15362,990,4076,0.72384,0,14610,11,0,0,0,8073,0,21253,483,4767,736
1980,0,2521,18916,833,5836,27,0,18732,16,0,0,0,17376,0,29855,993,6743,1159
1981,0,3808,22034,1304,8324,24,0,22014,20,0,3,0,33673,0,37552,2014,9446,1789
1982,0,5551,25269,1985,11826,29,0,27337,25,0,22,0,58421,0,46777,4080,13910,2667
1983,0.86395,7820,28449,2949,16412,42,0,33650,31,0,35,0,88386,0,54386,7948,19694,3895
1984,1,10649,31367,4242,22541,59,4,41553,41,0,66,0,120878,4,60164,14810,28680,5557
1985,5,14060,34400,5880,30701,82,25,50300,52,0,122,12,150385,4,64866,26416,41376,7705
1986,13,17947,36888,7941,42380,109,106,61370,63,1542,225,157,174219,8,67212,44579,59359,10333
1987,39,22303,38741,10008,57511,148,453,75930,80,3397,400,1929,182493,16,69479,71264,83276,13362
1988,116,26939,41079,12642,76268,195,1933,93460,98,9332,715,18799,181166,36,70600,106684,113518,16751
1989,342,31692,43445,15272,96664,252,6644,111725,123,23842,1253,85625,170218,82,71406,148700,150306,20599
1990,1001,36431,44556,17364,111416,322,14365,134399,153,54988,2132,137554,152371,177,72631,192233,187115,25671
1991,2897,40956,45167,19218,120806,413,17086,160130,186,113906,3381,154138,128950,389,72626,230249,220538,33564
1992,8047,45102,49069,20222,124131,522,16386,186539,231,207888,4728,122712,109899,820,74507,257151,241640,42776
1993,15319,48832,49115,21023,124733,648,14955,213583,284,332569,5768,98281,92826,1702,76650,269812,248919,54422
1994,21308,51994,48665,20947,122348,799,16579,241657,347,467855,6667,73929,78974,3440,79079,267987,236519,68248
1995,23372,54461,48149,20730,119600,968,17549,270717,425,582508,7711,56728,71467,6611,81717,255361,210539,82224
1996,21779,56196,47751,18060,117743,1177,18601,298663,528,655785,8893,45811,65615,11564,84119,235490,177433,96154
1997,18315,57096,47047,18295,115000,1409,21730,316189,645,685991,10118,38602,64106,17125,86302,211761,145592,111510
1998,14226,57272,46177,16387,111536,1711,23407,324512,803,676896,11396,34249,64711,21456,87891,187544,119287,121788
1999,12199,57039,45209,14205,107385,2021,26683,327226,998,647124,12549,30381,67452,24041,88761,165775,100222,131192
2000,10243,56490,44292,13266,103174,2305,28857,326575,1234,604561,13630,27458,70104,25464,88959,146882,89626,141647
2001,8396,55702,43346,11542,99076,2450,27794,325041,1520,565666,14298,24407,73767,26656,88466,131323,85019,146305
2002,7066,54701,42481,10577,95303,2459,25746,318394,1890,545116,14876,21978,80158,26239,87455,119098,80806,147388
2003,6149,53733,41513,9528,91786,2446,23087,316733,2338,526178,15295,19407,86505,26914,85851,109617,77795,146049
2004,5282,52728,40450,9517,88509,2425,20764,313510,2894,508163,15522,17355,93874,26440,83252,103301,74978,143981
2005,4302,51875,39347,8491,85092,2347,19153,308868,3573,491727,15819,15447,104330,25591,80438,98278,72741,140557
2006,3625,51234,38435,8748,81345,2303,17246,302077,4399,482940,16084,13883,111688,23644,77509,94433,72769,136557
2007,3014,50956,37452,8726,77494,2207,15860,294702,5371,479304,16375,12593,113361,21238,73397,91736,74467,126324
2008,2533,50195,36458,8303,72479,2195,13674,287535,6524,478676,16654,11666,118772,20323,69128,89953,64143,120422
2009,2034,49877,35580,8417,68493,2169,12548,278061,7867,443960,16892,10909,128068,19383,64678,88197,61835,115553
2010,1666,48263,34418,8675,65001,2156,11532,270667,9410,423769,17014,10194,135705,18629,68505,84821,63519,115952
2011,1281,48963,33449,8089,58918,2146,10938,262238,11269,411939,17425,9686,129386,17914,66634,80626,56004,111471
2012,1124,48739,32588,7493,50611,2096,10075,253506,13567,385895,17676,8911,107818,17044,64217,69177,56977,99891
2013,969,48005,30858,7097,45600,2063,9452,239155,16382,352960,17823,8333,109369,15833,58915,65425,57945,95853
2014,856,47958,29250,6787,41814,2033,8664,227518,19519,338258,18224,7902,99693,14901,56283,63848,56648,87632
2015,740,45499,28026,6887,37558,2025,7331,195361,23287,324595,18415,7543,97165,14667,54575,61721,69780,86530