Spectrum Version: 5.31,Total number of new HIV infections,,Uncertainty Analysis,,,,,
country,type,2010,2011,2012,2013,2014,2015,2016
Cambodia,Lower,954,715,612,507,437,362,316
Cambodia,Median,1666,1281,1124,969,856,740,659
Cambodia,Upper,3487,2842,2556,2309,2193,2106,2040
Cameroon,Lower,43047,43294,42389,41488,40906,38265,37220
Cameroon,Median,48263,48963,48739,48005,47958,45499,45076
Cameroon,Upper,53210,54435,54846,54411,55194,52953,53360
DRC,Lower,29919,28547,27903,26280,24663,23656,23210
DRC,Median,34418,33449,32588,30858,29250,28026,27294
DRC,Upper,38484,37722,36920,35043,33379,32131,31593
Haiti,Lower,7358,6629,5868,4978,4126,4150,3786
Haiti,Median,8675,8089,7493,7097,6787,6887,6608
Haiti,Upper,10043,9729,9469,9500,9815,10232,9958
Malawi,Lower,58538,52345,44129,38978,35481,30919,27361
Malawi,Median,65001,58918,50611,45600,41814,37558,34232
Malawi,Upper,71818,65508,56811,52359,48763,44420,41371
Morocco,Lower,1408,1380,1338,1311,1287,1258,1240
Morocco,Median,2156,2146,2096,2063,2033,2025,2008
Morocco,Upper,2847,2862,2809,2780,2766,2763,2754
Myanmar,Lower,10388,9827,9032,8513,7836,6632,5613
Myanmar,Median,11532,10938,10075,9452,8664,7331,6206
Myanmar,Upper,12639,11974,11038,10393,9459,8015,6773
Nigeria,Lower,245110,237678,228327,213976,201835,172126,147372
Nigeria,Median,270667,262238,253506,239155,227518,195361,168074
Nigeria,Upper,295918,289501,281661,265020,255376,220280,189469
Pakistan,Lower,5898,6757,7785,8810,9655,10753,12179
Pakistan,Median,9410,11269,13567,16382,19519,23287,28468
Pakistan,Upper,17193,22184,29303,38763,50444,63483,82001
South Africa,Lower,393009,381178,356389,324433,310585,294680,241846
South Africa,Median,423769,411939,385895,352960,338258,324595,271963
South Africa,Upper,456784,444068,418905,383820,368186,356737,299856
South Sudan,Lower,10191,10068,9730,8891,8364,7348,6005
South Sudan,Median,17014,17425,17676,17823,18224,18415,17894
South Sudan,Upper,24462,25260,26179,27032,27372,27942,27661
Thailand,Lower,4793,6136,5818,4500,3692,3719,3314
Thailand,Median,10194,9686,8911,8333,7902,7543,7246
Thailand,Upper,13240,19296,21892,16049,12705,15623,14426
Uganda,Lower,118249,109416,88151,83333,74299,69313,71433
Uganda,Median,135705,129386,107818,109369,99693,97165,101413
Uganda,Upper,153228,149456,129170,135300,129443,129270,138781
Vietnam,Lower,16890,16170,15412,14311,13455,13272,12774
Vietnam,Median,18629,17914,17044,15833,14901,14667,14114
Vietnam,Upper,20354,19544,18613,17280,16240,15988,15388
Zambia,Lower,63975,62040,59471,54192,51319,48923,46676
Zambia,Median,68505,66634,64217,58915,56283,54575,53169
Zambia,Upper,73577,71756,69373,64288,61909,60745,59867
Zimbabwe,Lower,79243,74746,63543,59325,57287,54753,42314
Zimbabwe,Median,84821,80626,69177,65425,63848,61721,48448
Zimbabwe,Upper,90441,86588,74998,71866,71327,69719,55216
Kenya,Lower,43221,37218,37799,39542,38710,50429,50545
Kenya,Median,63381,55836,56818,57846,56353,69745,69694
Kenya,Upper,85766,77538,78888,79204,76921,91777,91493
Mozambique,Lower,96734,90616,79244,74612,66809,65707,64555
Mozambique,Median,115952,111471,99891,95853,87632,86530,87511
Mozambique,Upper,138258,134409,123585,121053,113702,112197,117561